Evidence_ID,Paper_ID,Authors,Year,Title,Journal_or_Conference,DOI,Process,Workpiece_Material,Tool_or_Reamer,Process_Factor,Factor_Value_or_Range,Experimental_Context,Measured_Outcome,Source_Supported_Finding,Evidence_Type,Evidence_Directness,Primary_RC_Mapping,Secondary_RC_Mapping,Suggested_CA,CA_Source_Type,Supporting_Passage_or_Summary,Source_Page_or_Section_if_available,Critical_Limitation,Retrieval_Text,Source_URL,Verification_Status
E001,P001,"Bhattacharyya, O.; Jun, M.B.G.; Kapoor, S.G.; DeVor, R.E.",2006,The effects of process faults and misalignments on the cutting force system and hole quality in reaming,International Journal of Machine Tools and Manufacture,10.1016/j.ijmachtools.2005.11.002,Reaming,Not extracted from accessible abstract,Not extracted from accessible source,Runout; spindle tilt; tool/hole-axis misalignment,Context-specific; no universal threshold encoded,Strong direct evidence for runout/alignment as a reaming-quality factor. Does not by itself prove a universal numerical runout threshold.,See source-supported finding / original paper,Process faults and misalignments significantly affect reaming forces; the developed model links these faults with tool displacement and reamed-hole quality.,Experimental + mechanistic model,Direct reaming evidence,A7,,C6,Engineering Inference,Process faults and misalignments significantly affect reaming forces; the developed model links these faults with tool displacement and reamed-hole quality.,Not extracted in seed corpus,Strong direct evidence for runout/alignment as a reaming-quality factor. Does not by itself prove a universal numerical runout threshold.,Reaming | Runout; spindle tilt; tool/hole-axis misalignment | Process faults and misalignments significantly affect reaming forces; the developed model links these faults with tool displacement and reamed-hole quality. | Strong direct evidence for runout/alignment as a reaming-quality factor. Does not by itself prove a universal numerical runout threshold. | A7 |,https://www.sciencedirect.com/science/article/abs/pii/S0890695505002968,Web-verified bibliographic identity/DOI on 2026-08-31
E002,P002,"Bhattacharyya, O. et al.",2006,Mechanistic model for the reaming process with emphasis on process faults,International Journal of Machine Tools and Manufacture,10.1016/j.ijmachtools.2005.07.022,Reaming,Not extracted from accessible abstract,Not extracted from accessible source,Parallel offset runout; spindle tilt; axis misalignment; speed; feed; initial-hole geometry,Context-specific; no universal threshold encoded,"Useful for A7 and for showing that initial-hole condition matters. Speed/feed are model inputs, not universal fault thresholds.",See source-supported finding / original paper,"The model identifies significant effects of runout, spindle tilt and tool/hole-axis misalignment on radial forces, which are correlated with final hole quality; initial-hole geometry is also considered.",Mechanistic model + validation,Direct reaming evidence,A7,A3; A4; A6,C6,Engineering Inference,"The model identifies significant effects of runout, spindle tilt and tool/hole-axis misalignment on radial forces, which are correlated with final hole quality; initial-hole geometry is also considered.",Not extracted in seed corpus,"Useful for A7 and for showing that initial-hole condition matters. Speed/feed are model inputs, not universal fault thresholds.","Reaming | Parallel offset runout; spindle tilt; axis misalignment; speed; feed; initial-hole geometry | The model identifies significant effects of runout, spindle tilt and tool/hole-axis misalignment on radial forces, which are correlated with final hole quality; initial-hole geometry is also considered. | Useful for A7 and for showing that initial-hole condition matters. Speed/feed are model inputs, not universal fault thresholds. | A7 | A3; A4; A6",https://www.sciencedirect.com/science/article/abs/pii/S0890695505001835,Web-verified bibliographic identity/DOI on 2026-08-31
E003,P003,"Bezerra, A.A.; Machado, A.R.; Souza, A.M. Jr.; Ezugwu, E.O.",2001,Effects of machining parameters when reaming aluminium-silicon (SAE 322) alloy,Journal of Materials Processing Technology,10.1016/S0924-0136(01)00561-1,Reaming,Aluminium-silicon SAE 322 alloy,K10 cemented-carbide welded-blade reamer,Depth of cut/reaming allowance; cutting speed; feed; tool geometry,Context-specific; no universal threshold encoded,"Strong direct evidence that speed/feed/allowance influence hole quality, but optimum values are context-specific.",See source-supported finding / original paper,"The study varies depth of cut, cutting speed and feed and evaluates diameter, roundness, cylindricity and surface roughness, demonstrating that reaming quality depends on process parameters.",Experimental,Direct reaming evidence,A3,A4; A6,C2; C3; C5,Engineering Inference,"The study varies depth of cut, cutting speed and feed and evaluates diameter, roundness, cylindricity and surface roughness, demonstrating that reaming quality depends on process parameters.",Not extracted in seed corpus,"Strong direct evidence that speed/feed/allowance influence hole quality, but optimum values are context-specific.","Reaming | Depth of cut/reaming allowance; cutting speed; feed; tool geometry | The study varies depth of cut, cutting speed and feed and evaluates diameter, roundness, cylindricity and surface roughness, demonstrating that reaming quality depends on process parameters. | Strong direct evidence that speed/feed/allowance influence hole quality, but optimum values are context-specific. | A3 | A4; A6",https://www.researchgate.net/publication/232402199_Effects_of_machining_parameters_when_reaming_aluminium-silicon_SAE_322_alloy,Web-verified bibliographic identity/DOI on 2026-08-31
E004,P004,"De Chiffre, L.; Tosello, G.; Píška, M.; Müller, P.",2009,Investigation on capability of the reaming process using minimal quantity lubrication,CIRP Journal of Manufacturing Science and Technology,10.1016/j.cirpj.2009.08.004,Reaming,Austenitic stainless steel,HSS reamer,Lubrication; cutting speed; feed; depth of cut/stock removal; starting-hole quality,Context-specific; no universal threshold encoded,Core source for lubrication and starting-hole/stock-removal knowledge. Avoid turning its specific settings into universal thresholds.,See source-supported finding / original paper,"Reaming tests with different cutting data and lubrication conditions measured diameter, roundness, cylindricity, roughness, thrust and torque. Lower cutting speed/feed produced lower process scatter; the study also discusses stock removal and starting-hole quality.",Experimental process-capability study,Direct reaming evidence,A5,A3; A4; A6,C4; C2; C3; C5,Engineering Inference,"Reaming tests with different cutting data and lubrication conditions measured diameter, roundness, cylindricity, roughness, thrust and torque. Lower cutting speed/feed produced lower process scatter; the study also discusses stock removal and starting-hole quality.",Not extracted in seed corpus,Core source for lubrication and starting-hole/stock-removal knowledge. Avoid turning its specific settings into universal thresholds.,"Reaming | Lubrication; cutting speed; feed; depth of cut/stock removal; starting-hole quality | Reaming tests with different cutting data and lubrication conditions measured diameter, roundness, cylindricity, roughness, thrust and torque. Lower cutting speed/feed produced lower process scatter; the study also discusses stock removal and starting-hole quality. | Core source for lubrication and starting-hole/stock-removal knowledge. Avoid turning its specific settings into universal thresholds. | A5 | A3; A4; A6",https://www.sciencedirect.com/science/article/abs/pii/S1755581709000303,Web-verified bibliographic identity/DOI on 2026-08-31
E005,P005,"Melo, T.F.L.; Ribeiro Filho, S.L.M.; Arruda, E.M.; Brandão, L.C.",2019,"Analysis of the surface roughness, cutting efforts, and form errors in bore reaming of hardened steel using a statistical approach",Measurement,10.1016/j.measurement.2018.12.033,Reaming,AISI P20 hardened steel,Not extracted from accessible source,Cutting speed; feed rate; lubrication system; flute geometry,Context-specific; no universal threshold encoded,Excellent source for parameter-effect relationships in reaming. Does not justify one universal rpm/feed value.,See source-supported finding / original paper,Cutting speed was the most critical factor for hole-wall quality and thrust; feed was most important for torque. Lubrication condition affected torque and roundness.,Experimental statistical study,Direct reaming evidence,A3,A4; A5,C2; C3; C4,Engineering Inference,Cutting speed was the most critical factor for hole-wall quality and thrust; feed was most important for torque. Lubrication condition affected torque and roundness.,Not extracted in seed corpus,Excellent source for parameter-effect relationships in reaming. Does not justify one universal rpm/feed value.,Reaming | Cutting speed; feed rate; lubrication system; flute geometry | Cutting speed was the most critical factor for hole-wall quality and thrust; feed was most important for torque. Lubrication condition affected torque and roundness. | Excellent source for parameter-effect relationships in reaming. Does not justify one universal rpm/feed value. | A3 | A4; A5,https://www.sciencedirect.com/science/article/pii/S0263224118311795,Web-verified bibliographic identity/DOI on 2026-08-31
E006,P006,"Mathews, P.G.; Shunmugam, M.S.",1999,Condition monitoring in reaming through acoustic emission signals,Journal of Materials Processing Technology,10.1016/S0924-0136(98)00237-4,Reaming,EN4 steel,Not extracted from accessible source,Chip formation; chip clogging; cutting speed; feed; rubbing; vibration,Context-specific; no universal threshold encoded,One of the strongest direct sources for retaining chip clogging/evacuation as a possible root-cause category.,See source-supported finding / original paper,"Acoustic-emission behaviour is sensitive to speed and feed. The paper notes that margin rubbing, chip clogging and increased vibration can affect the process and the quality of the produced surface.",Experimental condition-monitoring study,Direct reaming evidence,A2,A3; A4,C8,Engineering Inference,"Acoustic-emission behaviour is sensitive to speed and feed. The paper notes that margin rubbing, chip clogging and increased vibration can affect the process and the quality of the produced surface.",Not extracted in seed corpus,One of the strongest direct sources for retaining chip clogging/evacuation as a possible root-cause category.,"Reaming | Chip formation; chip clogging; cutting speed; feed; rubbing; vibration | Acoustic-emission behaviour is sensitive to speed and feed. The paper notes that margin rubbing, chip clogging and increased vibration can affect the process and the quality of the produced surface. | One of the strongest direct sources for retaining chip clogging/evacuation as a possible root-cause category. | A2 | A3; A4",https://www.sciencedirect.com/science/article/pii/S0924013698002374,Web-verified bibliographic identity/DOI on 2026-08-31
E007,P007,"Axinte, D.A.; Andrews, P.",2007,Some considerations on tool wear and workpiece surface quality of holes finished by reaming or milling in a nickel base superalloy,"Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture",10.1243/09544054JEM704,Reaming / hole finishing,RR1000 nickel-base superalloy,Not extracted from accessible source,Tool wear; cutting-edge preparation; hole accuracy; surface roughness; surface integrity,Context-specific; no universal threshold encoded,Strong support that tool condition matters to finished-hole quality; replacement/regrinding should be presented as engineering action unless explicitly stated for the condition.,See source-supported finding / original paper,Tool life and surface/hole quality were evaluated for hole-finishing operations. The finishing-tool/cutting-edge preparation was important for meeting multiple quality requirements.,Experimental hole-finishing study,Direct reaming evidence,A1,,C1,Engineering Inference,Tool life and surface/hole quality were evaluated for hole-finishing operations. The finishing-tool/cutting-edge preparation was important for meeting multiple quality requirements.,Not extracted in seed corpus,Strong support that tool condition matters to finished-hole quality; replacement/regrinding should be presented as engineering action unless explicitly stated for the condition.,Reaming / hole finishing | Tool wear; cutting-edge preparation; hole accuracy; surface roughness; surface integrity | Tool life and surface/hole quality were evaluated for hole-finishing operations. The finishing-tool/cutting-edge preparation was important for meeting multiple quality requirements. | Strong support that tool condition matters to finished-hole quality; replacement/regrinding should be presented as engineering action unless explicitly stated for the condition. | A1 |,https://journals.sagepub.com/doi/10.1243/09544054JEM704,Web-verified bibliographic identity/DOI on 2026-08-31
E008,P008,"Lugscheider, E.; Knotek, O.; Barimani, C.; Leyendecker, T.; Lemmer, O.; Wenke, R.",1999,PVD hard coated reamers in lubricant-free cutting,Surface and Coatings Technology,10.1016/S0257-8972(98)00775-0,Reaming,GG25 grey cast iron; AlSi12 aluminium alloy,PVD-coated reamers,Lubricant-free cutting; thermal load; abrasive load; tool wear,Context-specific; no universal threshold encoded,"Direct support for coolant/lubrication effects, but dry reaming can still be viable in specific material/coating contexts; do not encode 'no coolant = always wrong'.",See source-supported finding / original paper,Cutting without cooling lubricant sharply increases thermal and abrasive tool loading; the paper evaluates tool-life behaviour under lubricant-free/minimal-lubrication reaming conditions.,Experimental tool/coating study,Direct reaming evidence,A5,A1,C4; C1,Engineering Inference,Cutting without cooling lubricant sharply increases thermal and abrasive tool loading; the paper evaluates tool-life behaviour under lubricant-free/minimal-lubrication reaming conditions.,Not extracted in seed corpus,"Direct support for coolant/lubrication effects, but dry reaming can still be viable in specific material/coating contexts; do not encode 'no coolant = always wrong'.","Reaming | Lubricant-free cutting; thermal load; abrasive load; tool wear | Cutting without cooling lubricant sharply increases thermal and abrasive tool loading; the paper evaluates tool-life behaviour under lubricant-free/minimal-lubrication reaming conditions. | Direct support for coolant/lubrication effects, but dry reaming can still be viable in specific material/coating contexts; do not encode 'no coolant = always wrong'. | A5 | A1",https://www.sciencedirect.com/science/article/abs/pii/S0257897298007750,Web-verified bibliographic identity/DOI on 2026-08-31
E009,P009,"Zhang, Y.; Wang, Y.; Han, Z.",2022,Study on Characteristics for Reaming Titanium Alloy Ti6Al4V with Two Kinds of Cemented-Carbide Groove Reamers,Materials,10.3390/ma15145027,Reaming,Ti6Al4V titanium alloy,Cemented-carbide straight/right-hand groove reamers,Tool wear; chip evacuation; feed; cutting speed; groove geometry,Context-specific; no universal threshold encoded,Very valuable because it directly links poor chip evacuation to surface scratching/quality loss.,See source-supported finding / original paper,"Tool wear and chip adhesion were linked with surface damage. Spiral/right-hand groove geometry improved chip discharge; straight grooves were more prone to chip blockage, scratching and vibration. Surface quality also changed with feed and speed.",Experimental,Direct reaming evidence,A2,A1; A3; A4,C8; C1; C2; C3,Engineering Inference,"Tool wear and chip adhesion were linked with surface damage. Spiral/right-hand groove geometry improved chip discharge; straight grooves were more prone to chip blockage, scratching and vibration. Surface quality also changed with feed and speed.",Not extracted in seed corpus,Very valuable because it directly links poor chip evacuation to surface scratching/quality loss.,"Reaming | Tool wear; chip evacuation; feed; cutting speed; groove geometry | Tool wear and chip adhesion were linked with surface damage. Spiral/right-hand groove geometry improved chip discharge; straight grooves were more prone to chip blockage, scratching and vibration. Surface quality also changed with feed and speed. | Very valuable because it directly links poor chip evacuation to surface scratching/quality loss. | A2 | A1; A3; A4",https://www.mdpi.com/1996-1944/15/14/5027,Web-verified bibliographic identity/DOI on 2026-08-31
E010,P010,"Ye, Z.; Wang, Y.-G.; Yu, X.",2022,Study on the reaming process of aluminum alloy 7050-T7451 under different cooling conditions,Advances in Manufacturing,10.1007/s40436-021-00364-z,Reaming,7050-T7451 aluminium alloy,PCD reamer,Cooling strategy; chip morphology; chip breaking; cutting parameters; hole quality,Context-specific; no universal threshold encoded,Strong evidence that chip control and coolant strategy are coupled; useful for evidence-grounded explanations.,See source-supported finding / original paper,Cooling strategy and cutting parameters strongly affected chip morphology and hole quality. Internal cooling enabled effective chip breaking and satisfactory geometry/surface quality under the investigated condition.,Experimental + FEM,Direct reaming evidence,A2,A5; A3; A4,C8; C4; C2; C3,Engineering Inference,Cooling strategy and cutting parameters strongly affected chip morphology and hole quality. Internal cooling enabled effective chip breaking and satisfactory geometry/surface quality under the investigated condition.,Not extracted in seed corpus,Strong evidence that chip control and coolant strategy are coupled; useful for evidence-grounded explanations.,Reaming | Cooling strategy; chip morphology; chip breaking; cutting parameters; hole quality | Cooling strategy and cutting parameters strongly affected chip morphology and hole quality. Internal cooling enabled effective chip breaking and satisfactory geometry/surface quality under the investigated condition. | Strong evidence that chip control and coolant strategy are coupled; useful for evidence-grounded explanations. | A2 | A5; A3; A4,https://journal.hep.com.cn/aim/EN/10.1007/s40436-021-00364-z,Web-verified bibliographic identity/DOI on 2026-08-31
